agent,seed,n,message,decoded message,score
2,842159,50,changer kudos elite discriminatory vanity,NULL,0
2,842159,50,massive broken b pussycat equipment,NULL,0
2,842159,50,attaching mike tendency upheld wipe,NULL,0
2,842159,50,horns,horns,1
2,842159,50,entitlements scented bilingual graves spectacle,NULL,0
2,842159,50,withdrawals learns extravaganza rms showdown,NULL,0
2,842159,50,billed proposing apostles,NULL,0
2,842159,50,stock,stock,1
2,842159,50,fortunes,fortunes,1
2,842159,50,fishers proving,fishers proving,1
2,842159,50,opponent language,NULL,0
2,842159,50,hampers arcade strengthening,NULL,0
2,842159,50,hollow pertains chameleon legislation summers,NULL,0
2,842159,50,offers panhandle conversely,NULL,0
2,842159,50,soy waterfowl losers burned preferably,NULL,0
2,842159,50,walnut flood asked gains,NULL,0
2,842159,50,phrases solid yields congregations usability humidity,NULL,0
2,842159,50,orthopedics resource embark responsiveness climates starred,NULL,0
2,842159,50,d structures commissioned,NULL,0
2,842159,50,pursuant venous initialized,NULL,0
2,842159,50,vortex,vortex,1
2,842159,50,doorstep di affected nucleic mobilize,NULL,0
2,842159,50,glacier republicans lesions belongings costumes germs,NULL,0
2,842159,50,remembers mint comprehension accordion unbiased,NULL,0
2,842159,50,advocacy,advocacy,1
2,842159,50,chapters mailers archive beautifully schema dwelling,NULL,0
2,842159,50,reverence catchment estimation exceed,NULL,0
2,842159,50,narrow dressing forester anxious diplomacy,NULL,0
2,842159,50,buccaneers invertebrates toner pond unregistered trilogy,NULL,0
2,842159,50,analyses approximations superman pinball worksheet piston,NULL,0
2,842159,50,skier grabber stay,NULL,0
2,842159,50,richness employment checklists weld fisherman,NULL,0
2,842159,50,sugar overweight merry organics,NULL,0
2,842159,50,conflict violating,conflict violating,1
2,842159,50,lakeside unfolding photographers looked asterisk,NULL,0
2,842159,50,accelerating logout storm paperback reductase,NULL,0
2,842159,50,insecticides paranormal grit ben tolls,NULL,0
2,842159,50,environmental,environmental,1
2,842159,50,discussing excursions eggplant compare,NULL,0
2,842159,50,lounge waits,lounge waits,1
2,842159,50,merely barb instructions unstable,NULL,0
2,842159,50,oil segments dispatched methane sermon,NULL,0
2,842159,50,peptides activist,peptides activist,1
2,842159,50,recombinant down boiler hulk,NULL,0
