agent,seed,n,message,decoded message,score
1,59036,80,82 Hebron Centers ,NULL,0
1,59036,80,308 West Elliot Road Mill ,NULL,0
1,59036,80,1 South Park Gateway ,NULL,0
1,59036,80,684 E White Mountain Fords ,NULL,0
1,59036,80,3956 Newhope Street Lakes ,NULL,0
1,59036,80,24 Lbj Highway ,NULL,0
1,59036,80,067 Flatbush Knolls ,NULL,0
1,59036,80,4 Bellmore Skyway ,NULL,0
1,59036,80,313 104th Fields ,NULL,0
1,59036,80,41 Dixie Mill ,NULL,0
1,59036,80,200 West Thunderbird Bend ,NULL,0
1,59036,80,801 Long Prairie Loop ,NULL,0
1,59036,80,17 Katella Strasse ,NULL,0
1,59036,80,747 Yellowstone Villages ,NULL,0
1,59036,80,0261 Southwest Hk Dodgen Walk ,NULL,0
1,59036,80,0676 El Camino Passage ,NULL,0
1,59036,80,75 North Terrace ,NULL,0
1,59036,80,54 Pompton Alley ,NULL,0
1,59036,80,6312 Woodcreek Oaks Blvd Camp ,NULL,0
1,59036,80,8277 Los Feliz Row ,NULL,0
1,59036,80,270 Solano Mountain ,NULL,0
1,59036,80,2541 Airport Harbor ,NULL,0
1,59036,80,55 North High Point Green ,NULL,0
1,59036,80,00 Morris Park Ports ,NULL,0
1,59036,80,503 Summerhill Port ,NULL,0
1,59036,80,380 S Diamond Bar Valley ,NULL,0
1,59036,80,108 Salvio Centers ,NULL,0
1,59036,80,5 East First Glens ,NULL,0
1,59036,80,626 San Ramon Vly Pike ,NULL,0
1,59036,80,8 Long Beach Ridge ,NULL,0
1,59036,80,618 Hudson Ford ,NULL,0
1,59036,80,5 East LA Palma Greens ,NULL,0
1,59036,80,8884 Deer Park Well ,NULL,0
1,59036,80,62 East Interstate Centers ,NULL,0
1,59036,80,855 N.W. 12th Ranch ,NULL,0
1,59036,80,"2 State Rd. 524, Suite Strasse ",NULL,0
1,59036,80,2697 West Brooks ,NULL,0
1,59036,80,6 South Roselle Ferry ,NULL,0
1,59036,80,5 Hempstead Orchard ,NULL,0
1,59036,80,2 Wiles Commons ,NULL,0
1,59036,80,36 Gramatan Mountain ,NULL,0
1,59036,80,2299 Elmcrest Villages ,NULL,0
1,59036,80,63 E. Highland Mall ,NULL,0
1,59036,80,102 Carmel Mountain Bluffs ,NULL,0
1,59036,80,7 Keystone Crossing Vista ,NULL,0
1,59036,80,21 W Monroe Street Crescent ,NULL,0
1,59036,80,76 Cherry Hill Extension ,NULL,0
1,59036,80,93 State Forest ,NULL,0
1,59036,80,66 Highway 631 Canyon ,NULL,0
1,59036,80,269 Gage Turnpike ,NULL,0
1,59036,80,4388 East Ville ,NULL,0
