7.8426 S, 0.5335 E
9.2646 S, 101.9776 W
42.7607 N, 130.2218 E
54.0099 N, 102.9580 W
1.7713 N, 24.1201 E
79.5246 S, 113.4585 E
82.1893 S, 171.3954 E
71.0414 S, 129.5265 W
4.8147 S, 166.5395 E
75.4492 N, 56.3303 W
10.2310 N, 132.0334 E
28.7875 N, 101.5273 W
79.3525 N, 115.6342 E
75.7262 N, 106.2598 W
46.7183 N, 149.2752 E
76.3221 N, 140.8035 W
47.1043 N, 135.5227 E
77.7898 S, 50.8194 W
30.7945 N, 145.5582 W
51.3799 N, 110.3392 E
26.8377 N, 167.2805 W
87.1431 N, 46.3124 E
86.1598 N, 22.1032 E
71.0072 N, 156.1979 E
67.0681 N, 6.7588 E
61.6632 S, 139.5059 E
33.8963 N, 102.9677 W
14.2998 N, 97.0518 E
10.1776 N, 150.6572 E
12.4799 S, 46.6605 E
76.3215 S, 36.8741 W
74.5324 N, 130.3071 W
28.9772 S, 97.5680 E
46.8531 N, 122.9401 E
13.7738 S, 95.5993 E
5.3523 S, 29.6365 E
7.6404 N, 100.6086 E
41.0132 N, 42.9423 W
86.9862 N, 4.7461 E
60.7087 S, 129.9406 E
27.5007 N, 121.0974 W
50.3728 N, 74.7690 W
19.5927 S, 167.7343 E
57.3725 S, 35.0491 E
89.7993 N, 84.8460 E
44.1234 N, 154.1224 W
58.0189 N, 150.6968 E
60.2382 N, 11.9689 E
32.1266 N, 62.4368 E
28.7154 N, 32.6289 E
72.6934 S, 112.6717 E
75.0320 N, 9.9607 E
66.8307 N, 39.8052 E
71.2818 N, 140.4103 E
80.3807 S, 14.1698 E
15.6441 N, 156.8923 W
74.7986 S, 97.8290 W
38.7705 N, 63.5758 W
23.0380 S, 47.1988 E
81.7492 S, 150.7878 E
49.0522 N, 9.2208 E
39.2941 N, 130.9935 E
89.5266 N, 35.6325 E
86.3740 S, 144.4749 E
56.1146 N, 178.6824 W
31.9604 N, 17.2186 E
55.0323 N, 23.4551 E
84.7580 S, 21.2434 W
68.6128 S, 103.2149 W
59.3104 S, 137.2138 E
82.7609 N, 3.9567 W
31.1889 N, 67.1839 W
46.0261 N, 15.7729 W
19.0887 S, 26.8097 W
44.9744 S, 88.1692 E
84.7677 S, 31.1201 W
52.8009 S, 37.3720 W
56.1251 N, 62.1677 W
68.2871 N, 14.3835 W
0.4570 S, 105.4565 W
89.6614 S, 84.4082 W
36.1143 N, 159.2016 W
39.0497 S, 139.5243 W
51.2240 N, 106.1629 W
34.0020 S, 123.9366 E
79.0278 S, 124.0157 W
62.5888 N, 165.9194 W
67.6265 N, 125.8629 W
25.8790 S, 54.4640 E
26.7716 S, 137.3544 W
75.5854 S, 74.5245 E
20.1677 S, 17.3158 E
36.8527 N, 17.2414 W
61.6397 N, 169.4014 W
29.1543 S, 68.4345 E
70.3259 S, 129.2492 E
44.6141 S, 178.3524 E
63.5635 S, 106.5748 E
12.0439 N, 138.0769 E
0.0520 N, 89.9383 W
